name,surname,email,birthYear,birthMonth,birthDay,group,rating,phone
Віталій,Демченко,vitaliy.demchenko@student.org,1994,1,1,MNR-34,13,300000,38(063)51-18-602
Наталія,Савченко,nataliya.savchenko@student.org,1990,1,1,MVS-14,12,190000,38(067)64-59-695
Любов,Кузьменко,lyubov.kuzmenko@student.org,1957,1,1,HSE-22,19,670000,38(096)35-50-564
Любов,Лебедь,lyubov.lebed1@student.org,2007,1,1,KFF-44,76,989998,38(097)51-80-319
Вера,Савченко,vera.savchenko@student.org,1968,1,1,QWF-31,6,510000,38(099)52-78-835
Любов,Шевчук,lyubov.shevchuk@student.org,2002,1,1,BAV-54,64,059998,38(063)72-89-918
Віктор,Панченко,viktor.panchenko1@student.org,1979,1,1,RQL-70,23,240000,38(097)73-24-455
Ярослав,Шаповал,yaroslav.shapoval1@student.org,1954,1,1,VAP-36,4,970000,38(096)95-92-725
Андрій,Білоус,andriy.bilous@student.org,1959,1,1,ZQR-35,98,040001,38(097)46-70-735
Світлана,Никоненко,svitlana.nykonenko@student.org,2008,1,1,MZG-58,72,989998,38(095)78-76-446
Алла,Кузьменко,alla.kuzmenko1@student.org,1997,1,1,DRS-37,22,180000,38(095)54-64-750
Петро,Гладко,petro.hladko@student.org,1955,1,1,TOC-81,4,620000,38(050)60-22-182
Раїса,Ковальчук,rayisa.kovalchuk@student.org,2004,1,1,GYF-14,63,950001,38(050)99-52-960
Тетяна,Новік,tetyana.novik2@student.org,1953,1,1,RNW-32,29,910000,38(067)54-93-758
Раїса,Левченко,rayisa.levchenko2@student.org,1981,1,1,MGK-30,82,949997,38(063)98-43-852
Роман,Козлов,roman.kozlov3@student.org,1957,1,1,RHT-52,66,339996,38(098)91-27-544
Андрій,Гриценко,andriy.hrytsenko@student.org,1996,1,1,YBK-86,32,549999,38(063)23-24-292
Віталій,Никоненко,vitaliy.nykonenko2@student.org,1957,1,1,ECP-99,87,199997,38(073)92-42-753
Володимир,Дорошенко,volodymyr.doroshenko2@student.org,1976,1,1,CNO-94,62,959999,38(050)58-63-499
Олеся,Стельмах,olesya.stelmakh1@student.org,1956,1,1,FXS-93,1,360000,38(066)70-36-961
Вікторія,Гончаренко,viktoriya.honcharenko2@student.org,1988,1,1,KFV-94,78,620003,38(063)88-11-153
Людмила,Костенко,lyudmyla.kostenko1@student.org,2001,1,1,WOJ-61,26,430000,38(066)53-49-317
Григорій,Кравченко,hryhoriy.kravchenko2@student.org,1980,1,1,NLD-85,84,599998,38(073)42-58-621
Андрій,Новік,andriy.novik4@student.org,1976,1,1,MUQ-59,46,410000,38(096)50-61-102
Анна,Коваль,anna.koval4@student.org,1984,1,1,NOS-54,73,790001,38(068)28-82-213
Володимир,Кравченко,volodymyr.kravchenko1@student.org,1988,1,1,JJW-62,46,450001,38(096)50-61-411
Галина,Костенко,halyna.kostenko4@student.org,1970,1,1,FPM-83,61,150002,38(063)56-59-594
Петро,Шевченко,petro.shevchenko2@student.org,1999,1,1,YWU-86,72,199997,38(067)29-38-885
Оксана,Білоус,oksana.bilous5@student.org,2010,1,1,ANS-12,21,879999,38(073)62-77-706
Юрій,Демченко,yuriy.demchenko4@student.org,2006,1,1,EWS-22,26,799999,38(068)92-85-258
Богдан,Шевченко,bohdan.shevchenko6@student.org,1961,1,1,WLZ-62,63,590000,38(093)18-49-460
Ірина,Цимбал,iryna.tsymbal3@student.org,1991,1,1,QCK-38,89,029999,38(073)64-33-183
Валентина,Іваненко,valentyna.ivanenko3@student.org,1973,1,1,FIC-58,28,110001,38(099)85-30-582
Олеся,Марченко,olesya.marchenko4@student.org,1964,1,1,QIX-38,31,780001,38(068)69-98-101
Іван,Зайцев,ivan.zaytsev1@student.org,1996,1,1,RNW-85,1,490000,38(067)46-14-621
Анна,Мельник,anna.melnyk3@student.org,1952,1,1,QQI-98,75,139999,38(068)57-13-183
Ярослав,Гриценко,yaroslav.hrytsenko3@student.org,1994,1,1,TCE-54,27,969999,38(095)64-59-926
Богдан,Шевченко,bohdan.shevchenko7@student.org,1978,1,1,MMS-77,74,209999,38(063)32-86-335
Наталія,Макаренко,nataliya.makarenko8@student.org,1986,1,1,ISW-24,64,680000,38(063)63-87-860
Костянтин,Лисенко,kostyantyn.lysenko7@student.org,2008,1,1,LRO-77,40,110001,38(063)23-88-509
Костянтин,Стельмах,kostyantyn.stelmakh4@student.org,1978,1,1,JHX-69,5,800000,38(097)75-24-598
Раїса,Коваленко,rayisa.kovalenko3@student.org,1987,1,1,MRJ-23,84,699997,38(063)28-74-775
Сергій,Руденко,serhiy.rudenko4@student.org,1963,1,1,IHP-68,25,270000,38(068)82-82-782
Станіслав,Шевчук,stanislav.shevchuk4@student.org,1999,1,1,OGM-36,8,870000,38(066)86-27-892
